,en,de,fr,es,pl,da,tr,bg,bs,sq,mt,zh,mixed,unknown
english,68.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.499999999999996
german,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000004,90.5
french,0.0,0.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
spanish,1.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
polish,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
danish,2.5,0.0,0.0,0.0,0.0,49.5,0.0,0.0,0.0,0.0,0.0,6.5,5.0,36.5
turkish,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.5,0.0,2.5
bulgarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,0.0,0.0,7.5
bosnian,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,31.0,0.0,8.0,0.0
albanian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.5,0.0
maltese,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.5,61.0,0.0
